#S 1
#D #D Sat Nov 2 15:25:30 2024
#U blowerT 25.0
#V signal fl
#V reference tr
#V E0 24353.538239071648
#V refE0 24350.0
#V blowerT 25.0
#V J0 165668859985.5537
#L E               x
   2.477261e+04    +1.909664e-03
   2.477354e+04    +2.999021e-05
   2.477453e+04    +3.724959e-03
   2.477553e+04    -3.646242e-03
   2.477650e+04    +1.961282e-04
   2.477747e+04    +5.087379e-03
   2.477848e+04    +3.972058e-03
   2.477945e+04    -2.876056e-03
   2.478045e+04    -6.721833e-03
   2.478142e+04    -4.852957e-03
   2.478237e+04    +5.761400e-04
   2.478340e+04    +1.505289e-03
   2.478438e+04    -5.964687e-03
   2.478532e+04    -5.529914e-03
   2.478635e+04    -3.432748e-03
   2.478734e+04    -3.125989e-03
   2.478833e+04    +8.887129e-04
   2.478927e+04    +3.201577e-03
   2.479027e+04    +1.155543e-03
   2.479119e+04    -2.129384e-03
   2.479227e+04    -1.551459e-03
   2.479322e+04    -1.648150e-03
   2.479424e+04    -2.083268e-03
   2.479528e+04    -6.080508e-03
   2.479626e+04    -6.603478e-03
   2.479720e+04    -4.849800e-03
   2.479825e+04    +1.582022e-03
   2.479927e+04    -7.310374e-03
   2.480018e+04    -5.047401e-03
   2.480119e+04    +2.779418e-04
   2.480222e+04    -8.207217e-04
   2.480321e+04    -8.978340e-03
   2.480420e+04    +2.798527e-04
   2.480523e+04    -3.864800e-03
   2.480623e+04    -2.152638e-03
   2.480723e+04    -3.130788e-03
   2.480822e+04    -6.273511e-03
   2.480918e+04    -9.006149e-03
   2.481022e+04    -4.052565e-03
   2.481121e+04    -6.344561e-03
   2.481226e+04    -4.461602e-03
   2.481314e+04    -7.605275e-03
   2.481418e+04    -6.415849e-03
   2.481518e+04    -4.768556e-03
   2.481614e+04    -2.329884e-03
   2.481714e+04    -6.469502e-03
   2.481822e+04    -5.627850e-03
   2.481919e+04    -3.161005e-03
   2.482015e+04    -1.203852e-02
   2.482119e+04    -5.297379e-03
   2.482223e+04    -5.624701e-03
   2.482319e+04    -9.905291e-03
   2.482420e+04    -5.305740e-03
   2.482518e+04    -2.260041e-03
   2.482619e+04    -5.003491e-03
   2.482723e+04    -7.563177e-03
   2.482824e+04    -1.498797e-03
   2.482920e+04    -4.807013e-03
   2.483023e+04    -4.207822e-03
   2.483129e+04    -6.763065e-03
   2.483223e+04    -4.537240e-03
   2.483329e+04    -8.196336e-03
   2.483425e+04    -2.519698e-03
   2.483524e+04    -9.850757e-03
   2.483631e+04    -3.625949e-03
   2.483723e+04    -6.146898e-03
   2.483833e+04    -5.696487e-04
   2.483929e+04    -5.392878e-03
   2.484027e+04    -4.555114e-03
   2.484127e+04    -1.426114e-03
   2.484231e+04    -4.821673e-03
   2.484327e+04    +2.652803e-03
   2.484433e+04    -8.102686e-03
   2.484529e+04    -2.145814e-03
   2.484639e+04    -6.954537e-03
   2.484739e+04    -6.781435e-03
   2.484834e+04    -6.901864e-03
   2.484937e+04    -3.118485e-03
   2.485039e+04    -2.134565e-04
   2.485135e+04    -3.779306e-03
   2.485235e+04    -3.503813e-03
   2.485339e+04    -2.663595e-03
   2.485435e+04    -6.479851e-03
   2.485535e+04    -1.070204e-03
   2.485643e+04    -6.182092e-03
   2.485736e+04    -2.586168e-03
   2.485836e+04    -8.972454e-04
   2.485938e+04    -3.489303e-03
   2.486038e+04    -3.369809e-03
   2.486146e+04    -1.337577e-03
   2.486247e+04    -3.209283e-03
   2.486358e+04    -6.843852e-03
   2.486446e+04    +1.978918e-03
   2.486552e+04    -1.125874e-02
   2.486653e+04    -8.267404e-04
   2.486760e+04    -4.670863e-04
   2.486860e+04    -7.517078e-03
   2.486967e+04    -7.651459e-04
   2.487063e+04    -5.762570e-03
   2.487162e+04    -4.127902e-03
   2.487263e+04    -3.109836e-03
   2.487366e+04    -4.876630e-03
   2.487469e+04    -4.015008e-03
   2.487571e+04    -5.534133e-03
   2.487671e+04    -2.768668e-03
   2.487769e+04    -2.492579e-03
   2.487875e+04    +4.930707e-03
   2.487974e+04    -1.559719e-03
   2.488075e+04    -1.129430e-03
   2.488175e+04    -2.584797e-03
   2.488269e+04    -4.782434e-03
   2.488373e+04    -3.018018e-03
   2.488474e+04    -6.369340e-03
   2.488573e+04    +1.372672e-03
   2.488678e+04    -5.427587e-03
   2.488781e+04    -6.260848e-03
   2.488878e+04    -5.971793e-03
   2.488977e+04    -7.081430e-03
   2.489075e+04    -6.722051e-04
   2.489178e+04    -2.633301e-03
   2.489282e+04    -5.774428e-03
   2.489381e+04    -8.579606e-04
   2.489484e+04    -3.977172e-03
   2.489586e+04    -1.226091e-03
   2.489689e+04    -1.734915e-03
   2.489790e+04    -1.717956e-04
   2.489896e+04    -5.016552e-03
   2.490008e+04    -3.800487e-03
   2.490102e+04    -5.207946e-03
   2.490211e+04    +7.638586e-04
   2.490302e+04    -3.773119e-03
   2.490413e+04    -6.048175e-03
   2.490515e+04    -4.554068e-03
   2.490613e+04    +1.020089e-03
   2.490722e+04    -3.577807e-03
   2.490821e+04    -2.051019e-03
   2.490917e+04    -2.702427e-03
   2.491026e+04    -8.571234e-04
   2.491127e+04    -4.898864e-03
   2.491221e+04    +2.943838e-05
   2.491329e+04    +2.438325e-03
   2.491424e+04    -4.353957e-03
